agreement_title,agreement_url,agreement_info,category,subcategory,url
2014-2018 SAG-AFTRA Network Code,https://www.sagaftra.org/sites/default/files/2014-2018_network_television_code_v13.pdf,"This is the master agreement for non-dramatic television productions, and spells out the responsibilities of producers working in that medium.",Television Contracts,Television Live Action,https://www.sagaftra.org/production-center/contract/812/getting-started
2018 MOA National Code of Fair Practice for Network TV Broadcasting,https://www.sagaftra.org/sites/default/files/2018MOA-TV-National-Code_0.pdf,,Television Contracts,Television Live Action,https://www.sagaftra.org/production-center/contract/812/getting-started
2018-2022 National Public Television MOA,https://www.sagaftra.org/sites/default/files/2018-2022PublicTVMOAFE_0.pdf,This outlines the updates to the 2010-2013 National Public Television Agreement and the 2013-2016 Public Television Memorandum of Agreement.,Television Contracts,Television Live Action,https://www.sagaftra.org/production-center/contract/812/getting-started
2014 SAG-AFTRA Basic Agreement,https://www.sagaftra.org/sites/default/files/2014_sag-aftra_cba_1.pdf,"This is the master agreement for theatrical motion pictures, and spells out the responsibilities of producers working in that medium.",Television Contracts,Television Live Action,https://www.sagaftra.org/production-center/contract/812/getting-started
2014 SAG-AFTRA TV Agreement,https://www.sagaftra.org/sites/default/files/2014_sag-aftra_tv_agreement_7.pdf,"This is the master agreement for television productions, and spells out the responsibilities of producers working in that medium.",Television Contracts,Television Live Action,https://www.sagaftra.org/production-center/contract/812/getting-started
2020 Theatrical/Television MOA,https://www.sagaftra.org/sites/default/files/2020%20SAG-AFTRA%20MOA%207-22-20%20%2800223283xBE9D7%29-signed.pdf,"This memorandum details modifications to the existing Basic Agreement and Television Agreement 
Informational / Guide PDF",Theatrical Contracts,Theatrical (Basic or CBA),https://www.sagaftra.org/production-center/contract/818/getting-started
2023 Theatrical/Television MOA,https://www.sagaftra.org/sites/default/files/2023_Theatrical_Television_MOA.pdf,Informational / Guide PDF,Theatrical Contracts,Theatrical (Basic or CBA),https://www.sagaftra.org/production-center/contract/818/getting-started
2017 Theatrical/Television MOA,https://www.sagaftra.org/sites/default/files/2017_sag-aftra_theatrical-television_moa_7.pdf,"This memorandum details modifications to the existing Basic Agreement and Television Agreement.
Informational / Guide PDF",Theatrical Contracts,Theatrical (Basic or CBA),https://www.sagaftra.org/production-center/contract/818/getting-started
2014 SAG-AFTRA Basic Agreement,https://www.sagaftra.org/sites/default/files/2014_sag-aftra_cba_1.pdf,"This is the master agreement for theatrical motion pictures, and spells out the responsibilities of producers working in that medium.
Informational / Guide PDF",Theatrical Contracts,Theatrical (Basic or CBA),https://www.sagaftra.org/production-center/contract/818/getting-started
2020 Theatrical Adherence Letter,https://www.sagaftra.org/sites/default/files/Independent%28TH%29AdherenceLetter%20%5BSAMPLE%5D.pdf,"This is the form a producer signs to producer under the 2020 Theatrical Codified Basic Agreement.
Sample PDF",Theatrical Contracts,Theatrical (Basic or CBA),https://www.sagaftra.org/production-center/contract/818/getting-started
Low Budget Theatrical Agreement (LBA),https://www.sagaftra.org/sites/default/files/Low%20Budget%20Agreement%20Rev.%202.21.23%20SAMPLE.pdf,"This is the agreement for independent producers making theatrical films under $2,000,000.",Theatrical Contracts,Low Budget Theatrical (LBA),https://www.sagaftra.org/production-center/contract/814/getting-started
2020 Theatrical/Television MOA,https://www.sagaftra.org/sites/default/files/2020%20SAG-AFTRA%20MOA%207-22-20%20%2800223283xBE9D7%29-signed.pdf,This memorandum details modifications to the existing Basic Agreement and Television Agreement,Theatrical Contracts,Low Budget Theatrical (LBA),https://www.sagaftra.org/production-center/contract/814/getting-started
2023 Theatrical/Television MOA,https://www.sagaftra.org/sites/default/files/2023_Theatrical_Television_MOA.pdf,,Theatrical Contracts,Low Budget Theatrical (LBA),https://www.sagaftra.org/production-center/contract/814/getting-started
2017 Theatrical/Television MOA,https://www.sagaftra.org/sites/default/files/2017_sag-aftra_theatrical-television_moa_7.pdf,This memorandum details modifications to the existing Basic Agreement and Television Agreement.,Theatrical Contracts,Low Budget Theatrical (LBA),https://www.sagaftra.org/production-center/contract/814/getting-started
