agreement_title,agreement_url,agreement_info,category,subcategory,url,raw_path,markdown_path
Notice of Termination of Co-Ed COVID Protocols 2023,https://www.sagaftra.org/sites/default/files/Notice%20of%20End%20of%20Co-Ed%20COVID%20Protocols%202023.docx%20%283%29.pdf,,Corporate / Educational,,https://www.sagaftra.org/production-center/contract/803/getting-started,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/raw/Notice%20of%20End%20of%20Co-Ed%20COVID%20Protocols%202023.docx%20%283%29.pdf,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/markdown/Notice%20of%20End%20of%20Co-Ed%20COVID%20Protocols%202023.docx%20%283%29.md
COVID-19 Production Safety and Testing Protocol Agreement for Corporate-Educational and Non-Broadcast Contracts,https://www.sagaftra.org/sites/default/files/CoEdProtocols.pdf,Informational / Guide PDF,Corporate / Educational,,https://www.sagaftra.org/production-center/contract/803/getting-started,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/raw/CoEdProtocols.pdf,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/markdown/CoEdProtocols.md
2022 Corporate-Educational & Non-Broadcast Print Campaign Waiver,https://www.sagaftra.org/sites/default/files/2022%20Co-Ed%20Print%20Campaign%20waiver%20LOA.pdf,This waiver allows a producer on a print campaign to compensate only profession performers for b-roll/behind-the-scenes footage. Informational / Guide PDF,Corporate / Educational,,https://www.sagaftra.org/production-center/contract/803/getting-started,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/raw/2022%20Co-Ed%20Print%20Campaign%20waiver%20LOA.pdf,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/markdown/2022%20Co-Ed%20Print%20Campaign%20waiver%20LOA.md
Corporate/Educational & Non-Broadcast Auto/Trade Show Waiver,https://www.sagaftra.org/sites/default/files/Co-EdAutoShowTradeShowWaiverLOAOPO.pdf,Informational / Guide PDF,Corporate / Educational,,https://www.sagaftra.org/production-center/contract/803/getting-started,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/raw/Co-EdAutoShowTradeShowWaiverLOAOPO.pdf,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/markdown/Co-EdAutoShowTradeShowWaiverLOAOPO.md
2022 Atlanta Local Corporate-Educational Code,https://www.sagaftra.org/sites/default/files/2022%20Atlanta%20Local%20Co_Ed%20Code%201.31.23.pdf,Informational / Guide PDF,Corporate / Educational,,https://www.sagaftra.org/production-center/contract/803/getting-started,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/raw/2022%20Atlanta%20Local%20Co_Ed%20Code%201.31.23.pdf,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/markdown/2022%20Atlanta%20Local%20Co_Ed%20Code%201.31.23.md
2022 Arizona-Utah Local Corporate-Educational Code,https://www.sagaftra.org/sites/default/files/2022%20Arizona-Utah%20Local%20Co_Ed%20Code%201.31.23%20%281%29.pdf,Informational / Guide PDF,Corporate / Educational,,https://www.sagaftra.org/production-center/contract/803/getting-started,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/raw/2022%20Arizona-Utah%20Local%20Co_Ed%20Code%201.31.23%20%281%29.pdf,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/markdown/2022%20Arizona-Utah%20Local%20Co_Ed%20Code%201.31.23%20%281%29.md
2022 Chicago Local Corporate-Educational Code,https://www.sagaftra.org/sites/default/files/2022%20Chicago%20Local%20Co_Ed%20Code%202.23.pdf,Informational / Guide PDF,Corporate / Educational,,https://www.sagaftra.org/production-center/contract/803/getting-started,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/raw/2022%20Chicago%20Local%20Co_Ed%20Code%202.23.pdf,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/markdown/2022%20Chicago%20Local%20Co_Ed%20Code%202.23.md
2022 Hawaii Local Corporate-Educational Code,https://www.sagaftra.org/sites/default/files/2022%20Hawaii%20Local%20Co_Ed%20Code%202.23.pdf,Informational / Guide PDF,Corporate / Educational,,https://www.sagaftra.org/production-center/contract/803/getting-started,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/raw/2022%20Hawaii%20Local%20Co_Ed%20Code%202.23.pdf,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/markdown/2022%20Hawaii%20Local%20Co_Ed%20Code%202.23.md
Modified Dubbing Agreement,https://www.sagaftra.org/sites/default/files/2022SAG-AFTRADubbingAgreement_0.pdf,(Agreement Covering dubbing of foreign language film into English),Dubbing,,https://www.sagaftra.org/production-center/contract/895/getting-started,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/raw/2022SAG-AFTRADubbingAgreement_0.pdf,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/markdown/2022SAG-AFTRADubbingAgreement_0.md
Spanish Language Modification (Dubbing) Agreement,https://www.sagaftra.org/sites/default/files/SAG-AFTRA%20Spanish%20Language%20Modification%20%28Dubbing%29.pdf,Agreement covering dubbing of English language film into Spanish,Dubbing,,https://www.sagaftra.org/production-center/contract/895/getting-started,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/raw/SAG-AFTRA%20Spanish%20Language%20Modification%20%28Dubbing%29.pdf,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/markdown/SAG-AFTRA%20Spanish%20Language%20Modification%20%28Dubbing%29.md
