category,category_url,agreement_title,agreement_url
Corporate / Educational,https://www.sagaftra.org/production-center/contract/803/getting-started,12/21/22 Extension to the COVID-19 Co/Ed & Non-Broadcast Contract Production Safety & Testing Protocol Agreement,https://www.sagaftra.org/sites/default/files/Co-Ed%2012.22.22%20Safety%20Protocol%20extension.pdf
Corporate / Educational,https://www.sagaftra.org/production-center/contract/803/getting-started,Notice of Termination of Co-Ed COVID Protocols 2023,https://www.sagaftra.org/sites/default/files/Notice%20of%20End%20of%20Co-Ed%20COVID%20Protocols%202023.docx%20%283%29.pdf
Corporate / Educational,https://www.sagaftra.org/production-center/contract/803/getting-started,COVID-19 Production Safety and Testing Protocol Agreement for Corporate-Educational and Non-Broadcast Contracts,https://www.sagaftra.org/sites/default/files/CoEdProtocols.pdf
Corporate / Educational,https://www.sagaftra.org/production-center/contract/803/getting-started,2022 Corporate-Educational & Non-Broadcast Print Campaign Waiver,https://www.sagaftra.org/sites/default/files/2022%20Co-Ed%20Print%20Campaign%20waiver%20LOA.pdf
Corporate / Educational,https://www.sagaftra.org/production-center/contract/803/getting-started,Corporate/Educational & Non-Broadcast Auto/Trade Show Waiver,https://www.sagaftra.org/sites/default/files/Co-EdAutoShowTradeShowWaiverLOAOPO.pdf
Corporate / Educational,https://www.sagaftra.org/production-center/contract/803/getting-started,2022 Atlanta Local Corporate-Educational Code,https://www.sagaftra.org/sites/default/files/2022%20Atlanta%20Local%20Co_Ed%20Code%201.31.23.pdf
Corporate / Educational,https://www.sagaftra.org/production-center/contract/803/getting-started,2022 Arizona-Utah Local Corporate-Educational Code,https://www.sagaftra.org/sites/default/files/2022%20Arizona-Utah%20Local%20Co_Ed%20Code%201.31.23%20%281%29.pdf
Corporate / Educational,https://www.sagaftra.org/production-center/contract/803/getting-started,2022 Chicago Local Corporate-Educational Code,https://www.sagaftra.org/sites/default/files/2022%20Chicago%20Local%20Co_Ed%20Code%202.23.pdf
Corporate / Educational,https://www.sagaftra.org/production-center/contract/803/getting-started,2022 Hawaii Local Corporate-Educational Code,https://www.sagaftra.org/sites/default/files/2022%20Hawaii%20Local%20Co_Ed%20Code%202.23.pdf
Dubbing,https://www.sagaftra.org/production-center/contract/895/getting-started,Modified Dubbing Agreement,https://www.sagaftra.org/sites/default/files/2022SAG-AFTRADubbingAgreement_0.pdf
Dubbing,https://www.sagaftra.org/production-center/contract/895/getting-started,Spanish Language Modification (Dubbing) Agreement,https://www.sagaftra.org/sites/default/files/SAG-AFTRA%20Spanish%20Language%20Modification%20%28Dubbing%29.pdf
Dubbing,https://www.sagaftra.org/production-center/contract/895/getting-started,Netflix Dubbing Agreement,https://www.sagaftra.org/sites/default/files/ReferenceOnly-NetflixDubbingAgreement.pdf
Dubbing,https://www.sagaftra.org/production-center/contract/895/getting-started,Negotiated Dubbing Employers Agreement,https://www.sagaftra.org/sites/default/files/Negotiated%20Dubbing%20Employers%20Agreement.pdf
Dubbing,https://www.sagaftra.org/production-center/contract/895/getting-started,Netflix Agreement MOA,https://www.sagaftra.org/sites/default/files/2022%20SAG-AFTRA-Netflix%20MOA%20%28FINAL%29%209.20.22.pdf
Interactive,https://www.sagaftra.org/production-center/contract/820/getting-started,2024 Tiered-Budget Independent Interactive Media Agreemen,https://www.sagaftra.org/sites/default/files/2024%20Tiered-Budget%20Independent%20Interactive%20Media%20Agreement_1.pdf
Interactive,https://www.sagaftra.org/production-center/contract/820/getting-started,2024 Independent Interactive Localization Agreement,https://www.sagaftra.org/sites/default/files/2024%20Independent%20Interactive%20Localization%20Agreement_0.pdf
Interactive,https://www.sagaftra.org/production-center/contract/820/getting-started,Interim Interactive Media Agreement,https://www.sagaftra.org/sites/default/files/Interim%20Interactive%20Media%20Agreement.pdf
Interactive,https://www.sagaftra.org/production-center/contract/820/getting-started,2011-2014 AFTRA Interactive Media Agreement (base agreement),https://www.sagaftra.org/sites/default/files/2011%20-%202014%20AFTRA%20IMA%20and%20Sideletters%20-%20FINAL.pdf
Interactive,https://www.sagaftra.org/production-center/contract/820/getting-started,2017 Interactive Media Memorandum of Agreement (2017 updates),https://www.sagaftra.org/sites/default/files/2017SAG-AFTRAIMAMOAwSchA_final.pdf
